,forecast_date,high_temp,low_temp,precip_prob,wind_stats,date,day,month,year
0,2024-04-07,69,54,0.18,E 8 mph,2024-04-08,8,4,2024
1,2024-04-07,61,47,0.49,S 13 mph,2024-04-09,9,4,2024
2,2024-04-07,63,47,0.02,S 11 mph,2024-04-10,10,4,2024
3,2024-04-07,67,51,0.03,SSW 10 mph,2024-04-11,11,4,2024
4,2024-04-07,72,55,0.03,SW 9 mph,2024-04-12,12,4,2024
5,2024-04-07,74,56,0.03,SSW 9 mph,2024-04-13,13,4,2024
6,2024-04-07,75,56,0.02,SW 12 mph,2024-04-14,14,4,2024
7,2024-04-07,69,54,0.23,SE 11 mph,2024-04-15,15,4,2024
8,2024-04-07,65,52,0.18,SW 13 mph,2024-04-16,16,4,2024
9,2024-04-07,67,53,0.02,SW 11 mph,2024-04-17,17,4,2024
10,2024-04-07,66,54,0.17,SSE 12 mph,2024-04-18,18,4,2024
11,2024-04-07,65,54,0.24,SSW 11 mph,2024-04-19,19,4,2024
12,2024-04-07,66,54,0.38,SE 11 mph,2024-04-20,20,4,2024
13,2024-04-07,66,55,0.24,ESE 11 mph,2024-04-21,21,4,2024
